n_components,perplexity,n_iterations,ngram_range,silhouette_score,davies_bouldin_score
0,800,100,4000,0,0.112653,2.761380814700634
1,800,50,4000,0,0.19626907,2.3153874315777663
2,800,30,4000,0,0.24795233,7.048964749766846
3,800,10,4000,0,0.24540365,1.5507687054976318
4,800,100,4000,1,0.1062047,2.704070851476478
5,800,50,4000,1,0.16216063,2.6436573232202742
6,800,30,4000,1,0.2476137,1.9022723865881779
7,800,10,4000,1,0.23865508,1.9388649451709308
8,400,100,4000,0,0.12627281,3.0532409261585207
9,400,50,4000,0,0.14298646,3.9907994318396405
10,400,30,4000,0,0.21358207,5.549235109997136
11,400,10,4000,0,0.24179304,1.560254315908379
12,400,100,4000,1,0.08032683,3.930395547838708
13,400,50,4000,1,0.120542236,9.691799261500424
14,400,30,4000,1,0.21568896,1.86216677771516
15,400,10,4000,1,0.23290507,2.104277683464248
16,200,100,4000,0,0.098862365,11.238050215381879
17,200,50,4000,0,0.21844183,3.123108590458538
18,200,30,4000,0,0.28061727,1.5417932019257015
19,200,10,4000,0,0.13200907,4.591305133537938
20,200,100,4000,1,0.10931893,8.017085407191988
21,200,50,4000,1,0.20956255,2.306887413088641
22,200,30,4000,1,0.2788832,1.6198588524803768
23,200,10,4000,1,0.15462649,4.335635282083911
24,100,100,4000,0,0.2176078,1.9529475871857447
25,100,50,4000,0,0.26175883,7.137527456494906
26,100,30,4000,0,0.290468,1.522945503066617
27,100,10,4000,0,0.14944303,4.303128731594935
28,100,100,4000,1,0.13556378,2.5858871025553354
29,100,50,4000,1,0.206471,4.757649602594752
30,100,30,4000,1,0.29666436,1.6288278917681691
31,100,10,4000,1,0.19643416,3.950260596760091
